time,altitude,velocity
0.000000,40.800000,3.209063
1.000000,40.803737,3.209053
2.000000,40.814948,3.209023
3.000000,40.833633,3.208973
4.000000,40.859792,3.208902
5.000000,40.893424,3.208812
6.000000,40.934531,3.208702
7.000000,40.983110,3.208572
8.000000,41.039163,3.208422
9.000000,41.102689,3.208252
10.000000,41.173688,3.208062
11.000000,41.252160,3.207852
12.000000,41.338103,3.207622
13.000000,41.431519,3.207372
14.000000,41.532406,3.207102
15.000000,41.640764,3.206813
16.000000,41.756593,3.206503
17.000000,41.879892,3.206173
18.000000,42.010661,3.205824
19.000000,42.148899,3.205455
20.000000,42.294606,3.205066
21.000000,42.447781,3.204657
22.000000,42.608423,3.204228
23.000000,42.776532,3.203780
24.000000,42.952108,3.203312
25.000000,43.135149,3.202824
26.000000,43.325655,3.202316
27.000000,43.523625,3.201789
28.000000,43.729059,3.201242
29.000000,43.941954,3.200676
30.000000,44.162312,3.200090
31.000000,44.390130,3.199484
32.000000,44.625408,3.198859
33.000000,44.868146,3.198215
34.000000,45.118341,3.197551
35.000000,45.375993,3.196868
36.000000,45.641101,3.196165
37.000000,45.913665,3.195443
38.000000,46.193682,3.194702
39.000000,46.481152,3.193942
40.000000,46.776073,3.193162
41.000000,47.078445,3.192363
42.000000,47.388267,3.191545
43.000000,47.705537,3.190708
44.000000,48.030253,3.189852
45.000000,48.362415,3.188977
46.000000,48.702022,3.188083
47.000000,49.049071,3.187171
48.000000,49.403562,3.186239
49.000000,49.765493,3.185289
50.000000,50.134863,3.184319
51.000000,50.511670,3.183332
52.000000,50.895914,3.182325
53.000000,51.287591,3.181300
54.000000,51.686701,3.180256
55.000000,52.093243,3.179194
56.000000,52.507214,3.178114
57.000000,52.928614,3.177015
58.000000,53.357439,3.175898
59.000000,53.793690,3.174763
60.000000,54.237363,3.173609
61.000000,54.688458,3.172438
62.000000,55.146972,3.171248
63.000000,55.612903,3.170040
64.000000,56.086251,3.168814
65.000000,56.567013,3.167571
66.000000,57.055186,3.166310
67.000000,57.550770,3.165031
68.000000,58.053762,3.163734
69.000000,58.564161,3.162419
70.000000,59.081964,3.161088
71.000000,59.607169,3.159738
72.000000,60.139774,3.158371
73.000000,60.679777,3.156987
74.000000,61.227177,3.155586
75.000000,61.781970,3.154167
76.000000,62.344155,3.152732
77.000000,62.913729,3.151279
78.000000,63.490691,3.149809
79.000000,64.075037,3.148322
80.000000,64.666766,3.146819
81.000000,65.265876,3.145299
82.000000,65.872364,3.143762
83.000000,66.486227,3.142208
84.000000,67.107464,3.140638
85.000000,67.736072,3.139052
86.000000,68.372047,3.137449
87.000000,69.015389,3.135829
88.000000,69.666094,3.134194
89.000000,70.324160,3.132543
90.000000,70.989585,3.130875
91.000000,71.662365,3.129191
92.000000,72.342498,3.127492
93.000000,73.029981,3.125777
94.000000,73.724812,3.124046
95.000000,74.426988,3.122299
